"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Mar 05 09:12:26 GMT 2024","Tue Mar 05 09:12:26 GMT 2024","117","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationTest","successfulProjectCreationTest",""
"passed","Tue Mar 05 09:11:30 GMT 2024","Tue Mar 05 09:12:02 GMT 2024","32582","Surefire suite","Surefire test","com.example.teamcity.setup.StartUpAgentTest","com.example.teamcity.setup.StartUpAgentTest","authorizeAgentTest","authorizeAgentTest",""
"passed","Tue Mar 05 09:13:30 GMT 2024","Tue Mar 05 09:13:36 GMT 2024","6328","UI Suite","UI Test","com.example.teamcity.ui.CreateNewBuildConfigTest","com.example.teamcity.ui.CreateNewBuildConfigTest","authorizedUserShouldNotBeAbleToCreateBuildConfigWithEmptyName","authorizedUserShouldNotBeAbleToCreateBuildConfigWithEmptyName",""
"passed","Tue Mar 05 09:13:36 GMT 2024","Tue Mar 05 09:13:45 GMT 2024","9261","UI Suite","UI Test","com.example.teamcity.ui.CreateNewUiProjectTest","com.example.teamcity.ui.CreateNewUiProjectTest","authorizedUserShouldBeAbleToCreateProject","authorizedUserShouldBeAbleToCreateProject",""
"passed","Tue Mar 05 09:12:20 GMT 2024","Tue Mar 05 09:12:20 GMT 2024","176","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithIdNullTest","unsuccessfulBuildConfigurationWithIdNullTest",""
"passed","Tue Mar 05 09:12:13 GMT 2024","Tue Mar 05 09:12:17 GMT 2024","4443","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","successfulBuildConfigurationTest","successfulBuildConfigurationTest",""
"passed","Tue Mar 05 09:12:18 GMT 2024","Tue Mar 05 09:12:18 GMT 2024","212","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","successfulBuildConfigurationWithId255CharactersTest","successfulBuildConfigurationWithId255CharactersTest",""
"passed","Tue Mar 05 09:12:31 GMT 2024","Tue Mar 05 09:12:31 GMT 2024","72","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationWithNullParentProjectTest","successfulProjectCreationWithNullParentProjectTest",""
"passed","Tue Mar 05 09:12:27 GMT 2024","Tue Mar 05 09:12:28 GMT 2024","93","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationWithAllAllowedCharactersTest","successfulProjectCreationWithAllAllowedCharactersTest",""
"passed","Tue Mar 05 09:12:18 GMT 2024","Tue Mar 05 09:12:18 GMT 2024","295","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","successfulBuildConfigurationWithAllAllowedCharactersTest","successfulBuildConfigurationWithAllAllowedCharactersTest",""
"passed","Tue Mar 05 09:09:16 GMT 2024","Tue Mar 05 09:10:17 GMT 2024","60467","Surefire suite","Surefire test","com.example.teamcity.setup.SetupTest","com.example.teamcity.setup.SetupTest","startUpServerTest","startUpServerTest",""
"passed","Tue Mar 05 09:12:33 GMT 2024","Tue Mar 05 09:12:33 GMT 2024","60","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithEmptyIdTest","unsuccessfulProjectCreationWithEmptyIdTest",""
"passed","Tue Mar 05 09:12:21 GMT 2024","Tue Mar 05 09:12:21 GMT 2024","127","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWithNameNullTest","unsuccessfulBuildConfigurationWithNameNullTest",""
"passed","Tue Mar 05 09:12:19 GMT 2024","Tue Mar 05 09:12:19 GMT 2024","179","API Suite","API Test","com.example.teamcity.api.BuildConfigurationTest","com.example.teamcity.api.BuildConfigurationTest","unsuccessfulBuildConfigurationWith1CharacterInIdNullTest","unsuccessfulBuildConfigurationWith1CharacterInIdNullTest",""
"passed","Tue Mar 05 09:12:30 GMT 2024","Tue Mar 05 09:12:30 GMT 2024","67","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","successfulProjectCreationWithIdNullTest","successfulProjectCreationWithIdNullTest",""
"passed","Tue Mar 05 09:12:36 GMT 2024","Tue Mar 05 09:12:37 GMT 2024","86","API Suite","API Test","com.example.teamcity.api.ProjectTest","com.example.teamcity.api.ProjectTest","unsuccessfulProjectCreationWithSameIdTest","unsuccessfulProjectCreationWithSameIdTest",""
